Area Score,,5 points ea. non-missing value,,,,,,,
,,,,,,,,,
,fire,library,meals,med_disp,law,wifi,health,zipcode,score
37072,2,1,,,,1,,37072,15
37076,2,1,,1,1,4,,37076,25
37115,2,1,5,1,1,3,,37115,30
37138,1,1,1,,,2,,37138,20
37189,,,,,,,,37189,0
37201,,,,,,6,,37201,5
37203,2,2,,2,2,12,,37203,25
37204,1,,,,,1,,37204,10
37205,2,,,,,,,37205,5
37206,2,1,1,,,8,,37206,20
37207,3,,,1,1,5,,37207,20
37208,1,2,2,1,1,13,,37208,30
37209,2,,1,1,1,6,1,37209,30
37210,2,1,1,,,8,1,37210,25
37211,4,2,,1,1,6,1,37211,30
37212,2,,,,,1,,37212,10
37213,3,,,,,4,,37213,10
37214,2,1,,,,2,,37214,15
37215,1,1,,,,2,,37215,15
37216,1,1,,,,3,1,37216,20
37217,1,,,,,2,,37217,10
37218,1,1,1,,,3,,37218,20
37219,,1,,,,5,,37219,10
37220,,,,,,,,37220,0
37221,2,1,,,,3,,37221,15
37228,,1,,,,1,,37228,10
