,Zipcode,score,Population 16 years and over,Employed,Unemployed,Median household income (dollars),Mean household income (dollars)
0,37072,15,26286,16322,918,72370,94674
1,37076,25,31301,21257,805,68894,87509
2,37115,30,33647,21552,1438,55313,69650
3,37138,20,19096,12334,234,87465,112166
4,37189,0,3338,2324,123,88804,108107
5,37201,5,1443,971,0,106460,137564
6,37203,25,17629,12873,431,63834,94336
7,37204,10,14195,10803,196,104987,178418
8,37205,5,21762,13463,238,136100,222323
9,37206,20,23490,17719,898,80915,114377
10,37207,20,31065,21146,1181,59973,72606
11,37208,30,17880,11165,687,59050,86858
12,37209,30,32906,24256,927,68898,98701
13,37210,25,13611,8504,437,41736,68462
14,37211,30,59693,40881,2242,64856,84503
15,37212,10,18991,11749,481,83458,178515
16,37213,10,22,13,0,0,0
17,37214,15,26397,18643,678,71582,87408
18,37215,15,18696,11798,217,148074,217318
19,37216,20,16092,11624,428,74693,99706
20,37217,10,24380,17265,908,57084,72426
21,37218,20,12129,6052,586,55813,77147
22,37219,10,1609,1503,0,96776,99317
23,37220,0,4837,3218,60,150132,230199
24,37221,15,35020,24535,964,96623,122269
25,37228,10,2251,1777,118,65930,120574
